id,title,section_id,template_id,type_id,priority_id,milestone_id,refs,created_by,created_on,updated_by,updated_on,estimate,estimate_forecast,suite_id,custom_automation_type,custom_description,custom_preconds,custom_steps,custom_expected,custom_steps_separated,custom_mission,custom_goals,section_hierarchy,section_parent_id,section_description
3414024,Number of Concurrent Jobs by eUnity,57244,1,7,2,"","GATE-15,GATE-39",9,1516805302,9,1526658599,"","",4445,0,"eUnity shall be able to run up to 10 jobs concurrently so that for the majority of studies, all series are loaded in a single queue/request reducing the time a user has to wait for series to load. Default is 3.","","1. Login to eUnity as `INTOUCH_ADM`
2. Go to `https://<IP>/jmx-console/HtmlAdaptor?action=inspectMBean&name=eunity.smartcache%3Aservice%3DSmartCachePrefetcher`
3. Search for `NumberOfConcurrentJobs`",*NumberOfConcurrentJobs* is set to **10**.,"","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3417848,Default 'INTOUCH_LIST' Federated Worklist Provider configuration,57244,1,7,2,"","GATE-41,GATE-155",9,1516978282,9,1526667168,"","",4445,0,Allows for querying a list of multiple service-instances (dcm4chees) by CA1.,"","1. SSH into eUnity server
2. Open `/var/lib/eunity/server/default/conf/eunity/eunity-provider-config.xml` file
3. Search for `<service-instance name='INTOUCH_LIST'`
4. Go to https://<IP>/e/ 
5. Login as an Admin (User: INTOUCH_ADM )
6. Expand the list of servers available.
","The following lines are present in the file:

        <service-instance  name='INTOUCH_LIST' class='com.clientoutlook.providers.FederatedWorklistProvider' >
                <instance-configuration>
                        <properties>
                                <serviceInstances>DICOMExternal,IRISPACS,PACSPC2,PACSPC3</serviceInstances>
                                <studyLimit>2000</studyLimit>
                        </properties>
                </instance-configuration>
        </service-instance>


When logged in through the web, make sure INTOUCH_LIST appears on the list among available servers to pic from for the search.","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3456274,Default 'IRIS' Simple Priority Service Provider configuration,57244,1,7,2,"","GATE-41,GATE-222",9,1518786813,9,1519315492,"","",4445,0,Allows generating links to studies from the IRISPACS service-instance (aet 'PACS-IRIS') and allows for configuration of querying multiple dcm4chees by adding to the 'defaultProviders' if desired.,"","1. SSH into eUnity server
2. Open `/var/lib/eunity/server/default/conf/eunity/eunity-provider-config.xml` file
3. Search for `<service-instance name='IRIS'`","The following lines are present:

        <service-instance  name='IRIS' class='com.clientoutlook.providers.SimplePriorityStudyProvider' >
                <instance-configuration>
                        <properties>
                                <defaultProviders>DICOMExternal,IRISPACS</defaultProviders>
                        </properties>
                </instance-configuration>
        </service-instance>","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3467299,Default 'INTOUCH_VIEW' Simple Priority Study Provider configuration,57244,1,7,2,"","GATE-41,GATE-253",9,1519315523,9,1519315721,"","",4445,0,"Allows generating links to studies from the IRISPACS, PACSPC2, and PACSPC3 service-instances.","","1. SSH into eUnity server
2. Open `/var/lib/eunity/server/default/conf/eunity/eunity-provider-config.xml` file
3. Search for `<service-instance name='INTOUCH_VIEW'`","The following lines are present:

        <service-instance  name='INTOUCH_VIEW' class='com.clientoutlook.providers.SimplePriorityStudyProvider' >
                <instance-configuration>
                        <properties>
                                <defaultProviders>DICOMExternal,IRISPACS,PACSPC2,PACSPC3</defaultProviders>
                        </properties>
                </instance-configuration>
        </service-instance>","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3595686,Default 'IRISIMAGE' Simple Priority Image Provider,57244,1,7,2,"","GATE-41, GATE-464",24,1524765561,24,1524766029,"","",4445,0,"Allows viewing studies from the 'IRISPACS' service-instance using url link from IRIS.

","","1. SSH into eUnity server
2. Open /var/lib/eunity/server/default/conf/eunity/eunity-provider-config.xml file
3. Search for <service-instance name='IRISIMAGE'
4. Go to the bottom of the file and search for the section: 'DEFAULT PROVIDERS'","The following lines are present:

<service-instance  name='IRISIMAGE' class='com.clientoutlook.providers.SimplePriorityImageProvider' >
       <instance-configuration>
              <properties>
                      <defaultProviders>DICOMExternal,IRISPACS</defaultProviders>
              </properties>
        </instance-configuration>
</service-instance>





  <!-- ==================================================================== -->
  <!-- DEFAULT PROVIDERS                                                    -->
  <!-- ==================================================================== -->
  <providers>
        <metadata-provider>IRIS</metadata-provider>
        <image-provider>IRISIMAGE</image-provider>
        <study-comments-provider></study-comments-provider>
        <report-provider></report-provider>
        <worklist-provider>Local</worklist-provider>
        <instance-location-provider>Local</instance-location-provider> 
  </providers>","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3417849,IRIS Provider includes 2D and 3D pulls,57244,1,7,2,"","GATE-18,GATE-36",9,1516978289,9,1516979369,"","",4445,0,The default 'Provider' configuration shall include a 2D and a 3D provider so that a user of the IRIS application can view the 3D Multi-Planer Reconstructions (MPRs) of the Study.,"","1. SSH into eUnity server
2. Open `/var/lib/eunity/server/default/conf/eunity/eunity-provider-config.xml` file
3. Search for `service-instance name='IRISPACS'`","The following line is present:
`<instanceLocationProviderClass>com.clientoutlook.dcm4chee.providers.Dcm4cheeDICOMPullInstanceLocationProvider</instanceLocationProviderClass>`","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3423015,FastScrolling enabled for studies.,57244,1,7,2,"","GATE-17, GATE-48",24,1517253556,24,1519410658,"","",4445,0,"As a user of the eUnity Viewer, I shall be able to quickly scroll through image slices as soon as the images begin appearing onscreen so that the performance of the viewer is smooth and not jumpy.","","1. SSH into eUnity server
2. Open `eunity-config.properties` file located in `/var/lib/eunity/server/default/conf/eunity/`
3. Check values for:
    * EnableFastNavigation
    * FastNavigationThreshold
    * MouseWheelNavigationFPS

_(The file is Large, it is recommended to use the 'search' feature on the text editor: ctrl+W on Nano)._
","The file should present the following values by default:

* EnableFastNavigation=true
* FastNavigationThreshold=4
* MouseWheelNaigationFPS=60","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3423017,Proxyhost for 3D Rendering,57244,1,7,2,"","GATE-19, GATE49",24,1517256186,24,1525904282,"","",4445,0,"The eUnity Proxyhost host setting has to be configured to resolve internally and externally so that the 3D Rendering engine can reach the defined port.
","","Verify Default proxyhost configuration for 3D rendering:

* In /var/lib/eunity/server/default/conf/eunity/eunity-vr-properties.xml  check <proxyhost> value.

* In /var/lib/eunity3D/3DProxy/standalone/configuration/eUnity3D/config.xml, check <host> value and <eUnityDataDomain> value.","* In /var/lib/eunity/server/default/conf/eunity/eunity-vr-properties.xml:  <proxyhost> should be set to: 'prodtest.pacsviewer.net'

* In /var/lib/eunity3D/3DProxy/standalone/configuration/eUnity3D/config.xml:  <host> should be '192.168.128.206'  and <eUnityDataDomain> should be ''prodtest.pacsviewer.net''.

(Note: If this is verified AFTER running the script to set 'Manufacturing IP and DNS' then 'prodtest.pacsviewer.net' will be replaced by the inputted DNS on the script run.)","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3423243,IRIS Hanging Protocol Implementation,57244,1,7,2,"","GATE-16, GATE-32",24,1517260703,24,1519745572,"","",4445,0,"The 'Hanging Protocol' is a way to organize the elements and tools that are visible when viewing a study. 
* IRIS: when the viewer has been identified as an IRIS user (for example when viewing a study through IRIS application via SSM, or ISI web application, etc)

","","1. Verify the content of the file:  '/var/lib/eunity/server/default/conf/eunity/eunity-hanging-protocol-config.xml'
2. Open a study via SSM:  
    * Go to ssmstaging.intouchiris.com 
    * login as a Physician
    * search for any patient using wildcard *
    * view patient's study","1. The file contains the following lines:

        <HangingProtocol>
                <Name>IRIS</Name>
                <Selector>
                        <NumberOfStudies>1</NumberOfStudies>            <!-- 1, 1.., 2, etc. -->
                </Selector>
                <Environment>
                        <UserGroup>IRIS</UserGroup>
                        <NumberOfScreens>1..</NumberOfScreens>          <!-- 1, 1.., 2, etc. -->
                </Environment>

                <Display>
                        <ShowReport>false</ShowReport>
                        <Sharpening>false</Sharpening>
                        <DisplayDemographicsByDefault>true</DisplayDemographicsByDefault>
                        <ToolbarMask>-DEMOGRAPHIC_OVERLAY_TOGGLE,-MARKUP_OVERLAY_TOGGLE,-FLIP_OR_ROTATE_TOOLS_MENU,-FREEFORMROI_TOOL,-HORIZONTAL_FLIP_TOOL,-SERIES_LINKING_TOOL,-SHARPENING_TOOL,-REFERENCE_LINES_TOOL,-TRIANGULATION_TOOL,-CINE_TOOL,-CIRCLE_TOOL,-COBB_ANGLE_TOOL,-POLYGON_TOOL,-PROTRACTOR_TOOL,-PRINT_TOOL,-EXPORT_TOOL,-REVERT_WINDOW_LEVEL_TOOL,-POLYGON_TOOL,-PROTRACTOR_TOOL,-RESET_WINDOW_LEVEL_TOOL,-INVERT_TOOL,-VERTICAL_FLIP_TOOL,-ROTATE_90_CLOCKWISE_TOOL,-ROTATE_90_COUNTER_CLOCKWISE_TOOL,-COLLABORATE_TOOL,-FULL_SCREEN_TOGGLE,-MARKUP_TOOLS_MENU,-ARROW_TOOL,-FREEHAND_TOOL,-TEXT_TOOL,-SPINE_LABELING_TOOL,-LINE_TOOL,-MAG_GLASS_TOOL,-SERIES_REPOSITION_TOOL</ToolbarMask>
                        <PlayCINE>false</PlayCINE>

                        <!--    Screen layouts
                                        ______________

                                1upImageBox
                                1x2upImageBox
                                2x1upImageBox
                                2x2upImageBox

                                1upSeriesBox
                                1x2upSeriesBox
                                2x1upSeriesBox
                                3x2upSeriesBox
                                2x3upSeriesBox
                                2x2upSeriesBox
                                4x2upSeriesBox

                                2x1upStudyBox
                                1upStudyBox
                                1upStudyBox2x3upSeriesBox
                                1upStudyBox3x2upSeriesBox
                                1upStudyBox2x2upSeriesBox
                                1x2StudyBox
                                2x2upStudyBox
                                2x1upStudyBox1x2upSeriesBox
                                1x2upStudyBox2x1upSeriesBox


                        -->
                        <ScreenLayout>1upStudyBox</ScreenLayout>

                </Display>

          </HangingProtocol>

2. Users identified as IRIS users are presented with a simplified set of tools and controls, including:
    * Report
    * Navigate
    * Zoom/Pan
    * Window Level
    * Reset Window Level
    * Window Presets
    * Linear measurement tool
    * Elipse tool
    * Eraser
    * Screen layouts
3.  The IRIS specific Hanging Protocol is invoked by the `&usergroup=IRIS` parameter being passed in the URL created by the SSM","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
3423244,Hashed User and Secret,57244,1,7,2,"","GATE-24, GATE-47",24,1517264835,9,1517267517,"","",4445,0,"# The eUnity application shall use a user and secret key combination for single sign-on (SSO) credentials.
# Each instance shall have its own hashed user/Secret key combination. The image default shall be:
  * Username: pyyczLPFWzlEIjHRjQQe
  * Secret: gaObNpm21jEdEwkdQNsSZj2cTbjEnQklnO2vi77Q
","","Verify username and secret values in: `/var/lib/eunity/server/default/conf/eunity/eunity-config.properties`

_(It's a large file, it's recommended to use the search tool on the text editor - crtl+W on Nano - and search for 'ThirdPartyCredentials')_","The entry should appear like this: `ThirdPartyCredentials=<username>:<secret>:IntouchHealth`

* `ThirdPartyCredentials=pyyczLPFWzlEIjHRjQQe:gaObNpm21jEdEwkdQNsSZj2cTbjEnQklnO2vi77Q:IntouchHealth`","","","",Application Configuration,"",The Client Outlook's eUnity application shall be pre-configured to support the InTouch products so that Image Viewer's functionality is optimized for performance and the user experience is tailored depending on the calling application.
