id,title,section_id,template_id,type_id,priority_id,milestone_id,refs,created_by,created_on,updated_by,updated_on,estimate,estimate_forecast,suite_id,custom_automation_type,custom_description,custom_preconds,custom_steps,custom_expected,custom_steps_separated,custom_mission,custom_goals,section_hierarchy,section_parent_id,section_description
3579579,should fail get study links with missing authentication header,82158,1,7,2,"",IMG-10,11,1524506591,11,1527289938,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579580,should fail get study links with invalid access token,82158,1,7,2,"",IMG-10,11,1524506592,11,1527289938,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579581,should fail get study links with missing geolocation,82158,1,7,2,"",IMG-10,11,1524506593,11,1527289939,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579582,should fail get study links with missing study instance uid,82158,1,7,2,"",IMG-10,11,1524506594,11,1527289940,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579583,should fail get study links with unauthorized geolocation,82158,1,7,2,"",IMG-10,11,1524506594,11,1527289941,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579584,should fail get study links with geolocation that does not match any imaging devices,82158,1,7,2,"",IMG-10,11,1524506596,11,1527289942,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579585,should fail get study links with Device Manager reason error,82158,1,7,2,"",IMG-10,11,1524506596,11,1527289942,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579586,should fail get study links with Device Manager status error,82158,1,7,2,"",IMG-10,11,1524506597,11,1527289943,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579588,should fail get study links with Device Manager returning nil for imaging url,82158,1,7,2,"",IMG-10,11,1524506598,11,1527289944,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579589,should succeed get study links and only include permitted params in link,82158,1,7,2,"",IMG-10,11,1524506599,11,1527289944,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579590,should succeed get study links,82158,1,7,2,"",IMG-10,11,1524506600,11,1527289945,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579591,should fail get study list with missing authentication header,82158,1,7,2,"",IMG-11,11,1524506616,11,1524514954,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579592,should fail get study list with invalid access token,82158,1,7,2,"",IMG-11,11,1524506617,11,1524514955,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579593,should fail get study list with missing geolocation,82158,1,7,2,"",IMG-11,11,1524506618,11,1524514955,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579594,should fail get study list without any permitted studies query params,82158,1,7,2,"",IMG-11,11,1524506619,11,1524514956,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579595,should fail get study list with unauthorized geolocation,82158,1,7,2,"",IMG-11,11,1524506620,11,1524514957,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579596,should fail get study list with Device Manager status error,82158,1,7,2,"",IMG-11,11,1524506621,11,1524514958,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579598,should fail get study list with Device Manager returning nil for imaging url,82158,1,7,2,"",IMG-11,11,1524506622,11,1524514960,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579599,should succeed get study list with one query param for resmd,82158,1,7,2,"",IMG-11,11,1524506623,11,1526495126,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579600,should succeed get study list with multiple query params for resmd,82158,1,7,2,"",IMG-11,11,1524506624,11,1526495127,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3579821,should fail get study list with Pacs Viewer error,82158,1,7,2,"",IMG-11,11,1524514970,11,1524514970,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3615044,should fail get study list with Device Manager returning nil for resmd sso password,82158,1,7,2,"",IMG-11,11,1525389515,11,1525389515,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3615045,should fail get study links with Device Manager returning nil for resmd sso password,82158,1,7,2,"",IMG-10,11,1525389581,11,1527289946,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636368,should fail get study links with Device Manager returning nil for imaging type,82158,1,7,2,"",IMG-16,11,1526356708,11,1527289946,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636369,should fail get study links with Device Manager returning nil for eunity clo access key id,82158,1,7,2,"",IMG-16,11,1526356709,11,1527289947,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636370,should fail get study links with Device Manager returning nil for eunity clo secret key,82158,1,7,2,"",IMG-16,11,1526356710,11,1527289949,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636371,should fail get study list with Device Manager returning nil for imaging type,82158,1,7,2,"",IMG-16,11,1526356711,11,1526495129,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636372,should fail get study list with Device Manager returning nil for eunity clo access key id,82158,1,7,2,"",IMG-16,11,1526356712,11,1526356712,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636373,should fail get study list with Device Manager returning nil for eunity clo secret key,82158,1,7,2,"",IMG-16,11,1526356712,11,1526356712,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3636374,should succeed get study list with one query param for eunity,82158,1,7,2,"",IMG-16,11,1526356714,11,1526356714,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3637151,should succeed get study list with multiple query params for eunity,82158,1,7,2,"",IMG-16,11,1526495342,11,1526495342,"","",4893,0,"","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3679828,should fail get study links with empty authorization map,82158,1,7,2,"",IMG-99,11,1531258288,11,1534464043,"","",4893,"","","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
3679829,should fail get study list with empty authorization map,82158,1,7,2,"",IMG-99,11,1531258288,11,1531258288,"","",4893,"","","","","","","","",controllers > api_v1_pacs_viewer_controller_test.rb,79022,""
