id,title,section_id,template_id,type_id,priority_id,milestone_id,refs,created_by,created_on,updated_by,updated_on,estimate,estimate_forecast,suite_id,custom_automation_type,custom_description,custom_preconds,custom_steps,custom_expected,custom_steps_separated,custom_mission,custom_goals,section_hierarchy,section_parent_id,section_description
3641786,As a user I should be able to view a list of studies with a links to those studies,91674,1,7,2,"","IMG-13, IMG-17",9,1527190548,24,1534455595,"","",4892,0,Web front end should allow users to view a list of studies with links to the Imaging Viewer for those studies.,"Generate an 'Access Token':

- Set up a DEV environment for Imaging.
- Generate an access token by placing a **byebug** in the **app/helpers/sessions_helper.rb** file, specifically in the 'log_in' method. Grab the token by typing 'tokens'access_token''. Copy that string and type 'c' to continue.
- Logout so that your DM and IdP sessions are removed.

Another way of getting Staging Access Token:
- go to https://idptest.intouchstaging.com/
- on the top menu, click 'Log in'
- login with THE SAME USER you'll use to test. The access token will be generated for that user. if the user owner of the token is not enabled for Imaging app, the token will be useless.
- after login you'll see the access token available to copy it.

_(Note: Access Tokens expire after 1 hour. And are good only for 1 use only. When testing different things you'll need to generate different Access Tokens)_","Test steps:

1. Log in at Imaging Staging.
2. Query for studies from a location that uses an eUnity viewer. You can tell by clicking to view the study link and seeing what type of viewer the link takes you to.
3. Click on a 'view study' btn to view the study.
4. Repeat for ResMD. _(Note: **Eastern General Hospital** location uses ResMD)_
6. Test that at least 1 param must be provided to return a list of studies.
7. Sign out, and test that you can sign back in by providing an access token in the url with `https://imaging-stg.intouchstaging.com/?access_token={access_token}`.
8. Test that you can also initiate a study list query by going to `https://imaging-stg.intouchstaging.com/studies?access_token={access_token}&geolocation={geoloc_id}&other_params` with other params being the same sort of params you provide for a study_list API call. (for example: https://imaging-stg.intouchstaging.com/studies?geolocation=4513&patient_first_name=John&access_token={Access_Token} .   The order in which the parameters are arranged doesn't matter.)","You should be able to see studies in both platforms eUnity and ResMD. 

You should be able to sign in using the token, and perform queries using it.

You should be getting a list of patients only when at least 1 valid param is provided.","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3642745,As a physician user I want to be able to log in with username and password,91674,1,7,2,"","IMG-14, IMG-35",24,1527516124,24,1531433878,"","",4892,0,Provide a log in page using IdP. Have sessions timeout after 30 minutes,"1. Have a users created on FMS and make sure it's enabled for imaging app.
","1. Go to https://imaging-devops.intouchstaging.com
2. Attempt to login with that user.",Verify users enabled for 'Imaging' application in FMS have access to the app.,"","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3642749,Redirect users to the requested URL after they sign in,91674,1,7,2,"","IMG-33, IMG-43",24,1527529153,9,1527533691,"","",4892,0,Imaging should retain the requested URL and redirect once the user is logged in. This will enable SSO for users with an existing IdP session.,"1. Login to Imaging app.
2. Make a search for any patient. (e.g. Location: `ITH Eastern General Hospital`, First name: `barry`, Last name: `brown`)
3. Copy the URL of the search result for later use.","1. Make sure all IdP sessions are ended.
2. Being logged out, request the Imaging's url that you saved before (simply paste the URL on the browser).
3. You should be redirected to IdP's login page.
4. Login with your credentials.
5. Logout from Imaging app and Login to another app that uses IdP such as DM or IO (This will create and IdP session).
6. Being logged out from Imaging app but with the IdP session generated, try requesting that Imaging URL again. ","* For 4: After entering username and password you should be redirected to the originally requested url
  * You should be presented with the results from the search for `Barry Brown`, performed on the Preconditions section
* For 6: You should be automatically redirected to the requested page because the existing IdP session will redirect you through
  * You should be presented with the results from the search for `Barry Brown` again).","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3643435,Do not autofill Study search fields,91674,1,7,2,"","IMG-32, IMG-49",24,1527634336,9,1527685752,"","",4892,0,As a user of the Imaging Portal I do not want the data entered into the search fields to be saved for autofill by the application or the browser so that past patient search information is not displayed to minimize the potential PHI exposure.,1. Have a user created on Imaging app.,"1. Login to Imaging app.
2. Perform a search via the UI. (e.g.  first name = 'barry')
3. After getting the results, proceed to delete de fields from the previous search and try to make another one. (e.g. write 'ba' in the First Name field)

","In your next search attempt, the previous searched data ('barry' for Fist Name) should not be suggested by the browser to fill the input.","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3643437,Auto-logout for inactivity,91674,1,7,2,"","IMG-29, IMG-48, IMG-98, IMG-100",24,1527635274,9,1531502188,"","",4892,0,"As a human user of InTouch Imaging, I want to be auto-logged out after a period of inactivity within the application so that an unattended session is closed to minimize the likelihood of an unauthorized user gaining access to the application.

The default auto-logout timeout shall be 30 minutes.",1. Have a user created on Imaging app.,"1. Login to the Imaging app.
2. Be idle for 28 min (do not click or do anything)
3. After the 28 min period, you should see a pop-up with a timer counting down (from 2 min to 0).
4. Let the counter get to 0.
5. Log back in and stay idle for another 28 mins.
6. After the 28 min period, you should seethe same pop-up with a timer counting down (from 2 min to 0).
7. Before it reaches 0, click on `stay logged in`","* General: After 28 minutes of inactivity, you should see a pop-up with a timer counting down (from 2 min to 0).
* For 4: After the timer reaches 0, you should be logged out automatically. 
* For 7: clicking the `stay logged in` on the pop-up window prevents from automatically logging out","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3643440,Allow InTouch applications to use the Imaging application in an iFrame,91674,1,7,2,"","IMG-20, IMG-21",24,1527703270,24,1531509219,"","",4892,0,"Content security policies should be set such that other ITH applications can embed the Imaging Portal UI in an iframe
","1. Have a user created on Smart Notes DEV server.  

(This functionality will eventually be available on Smart Note's Staging server)","1. Go to SN dev server:  https://notes-devops.intouchstaging.com (Or SN Stg server: https://notes-stg.intouchstaging.com )
2. Login with user `slittle`(on Dev, or any other user on Stg)
3. From the list of users, select `John Doe` with Location = `PACS Location`  to create an encounter.
4. From the encounter view, click the 'Imaging' button from the menu on the left.
5. Click the `View Imaging` button on the upper right.
","For 5: Imaging app should pop-up on an iframe and it should display the equivalent of a study search for John Doe on Imaging app. 
","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3645575,Error messages should provide helpful information,91674,1,7,2,"","IMG-46, IMG-50, IMG-51",23,1527721913,24,1534459845,"","",4892,0,"* Add front end validation.
* Provide error responses that will be useful to physician users.","","1. Login to Imaging and perform a successful patient search.
2. Change the geolocation value in the URL to some random value and hit enter.
3. Cause a different error. You can use the **QA Test** geolocation (or any other location), then go to DM and change the `imaging_url` field on the corresponding device, to an invalid one. Then try a patient  search.

_(Note: To apply some changes, you may need to clear the cache 'server side'. To do so, use this URL:  https://imaging-stg.intouchstaging.com/clear_cache?secret=978e477f-2b44-40ca-b7ed-e8101e6ba83d )_","For (2) you should receive an error message indicating that the date format is invalid.

For (3) you should see error message `Unauthorized. Please contact support...`

For (4) you should see error message `Error. Please contact support...`","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3647710,Study links should be available on page load and regenerated every 10 minutes,91674,1,7,2,"","IMG-42, IMG-44",23,1527784501,9,1527858883,"","",4892,0,Study links should be included for each study in the study list on page load and should be regenerated every 10 minutes to avoid expired links.,"","1. Login to Imaging web app.
2. Search for a patient (e.g. Juan Perez)
3. Click the on study.
4. Right click the study and select `Inspect` (use Chrome).
5. You should see a `data-study-link` attribute which contains the link to the study.
6. Wait 10 minutes after the study list has loaded and re-check this link.
","* For 3: A new window should open pointing to the correct study in the PACS Viewer.
* For 6: The link should have updated. You can tell it has updated when the hash for the `signature` for eUnity or `password` for ResMD changes.","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3647711,Application should provide a good UX,91674,1,7,2,"","IMG-39, IMG-52, IMG-53",24,1527785618,9,1527859042,"","",4892,0,"- Improve study list UI/UX.
- Adjust the iframe settings to improve display of iframe in Smart Notes","1. have a user created on Smart Notes DEV server.  

(This functionality will eventually be available on Smart Note's Staging server)","1. Go to SN server
2. Login with user `slittle`
3. From the list of users, select `John Doe` with Location = `PACS Location`  to create an encounter.
4. From the encounter view, click the `Imaging` button from the menu on the left.
5. click the `View Imaging` button on the upper right.
6. reduce the size of the browser window","* If the screen size is reduced, the '+' button shows to expand table to view more info about the patient. 
* Clicking on this button or right around it should cause the row to expand. 
* Clicking anywhere else should open the study in the viewer but not cause the row to expand.","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
3647712,Post User Imaging activity to 'InTouch Data System',91674,1,7,2,"","IMG-15, IMG-30",23,1527785809,9,1527858946,"","",4892,0,"As a telehealth administrator, I shall be able to audit the user activities within the Imaging Module so that I can include these imaging related activities in the patients episode of care.

1. The Data team will aggregate user's Imaging events from the InTouch Message Bus.  
2. Based on the activity type, different data elements maybe reported

* User Activity Type: Login, Search, View, Logout
* Provider ID
* Encounter ID
* Geolocation ID
* Device ID
* Search parameters of submitted search
     * First Name (string)
     * Last Name (string)
     * Date of Birth (string)
     * MRN/Patient ID (string)
     * Study start time (UTC string)
     * Study end time (UTC string)
* Timestamp (UTC)
* Study ID of each viewed study","1. Open Splunk in two windows. In one search for imaging logs and in the other for IO logs.
","1. Sign in to Imaging Web App.
2. Sign in using SSO by providing an access token in the url. (`<base URL>/studies?access_token={access_token}`)
3. Perform a patient search.
4. View a study.
5. Sign out.
6. Do an SSO sign in (provide access token) and also provide encounter_id and appointment_id in the params. For their values, choose a positive integer. (`<base URL>/studies?access_token={access_token}&encounter_id=1&appointment_id=1`)
","For each of the obove steps, verify that a you see a POST to the messages API in the IO logs and you see a successful report message in the Imaging logs. Also, verify that for a given session flow (sign in -> search -> view -> sign out) every message has the same tracking id

* For 1: you should see two reports, one 'SignIn' and also Imaging automatically does a 'Search'.
* For 2: you should see two reports, one 'SignIn' and also Imaging automatically does a 'Search'.
* For 3: you should get one report. Verify that search params are included in the report content.
* For 4: you should get one report.
* For 5: you should get one report.
* For 6: verify that those values were included in the report content.


","","","",Imaging App,"","As a physician using the InTouch Imaging solution, I need to directly access the Imaging module from the other InTouch Software Modules (IE Provider Access Software, Smart Notes, Facility Intake, or Consumer) in addition to a standalone InTouch Imaging app so that I can view the DICOM study of a patient where ever I may be in the InTouch workflow."
