id,title,section_id,template_id,type_id,priority_id,milestone_id,refs,created_by,created_on,updated_by,updated_on,estimate,estimate_forecast,suite_id,custom_automation_type,custom_description,custom_preconds,custom_steps,custom_expected,custom_steps_separated,custom_mission,custom_goals,section_hierarchy,section_parent_id,section_description
3385901,The installation of the app should be automated by the use of a script,52755,1,7,2,"","GATE-109,GATE-133",9,1515451641,9,1515451798,"","",4401,0,"","","1. Run `bash bin/install.sh <environment>`
2. Run `rails s -b 0.0.0.0 -p 3003`",Rails server runs successfully,"","","",General,"",""
3387616,The application should display a favicon on the browser's tab,52755,1,7,2,"","GATE-111, GATE-134",24,1515526487,9,1524681454,"","",4401,0,"",Set up DM as described here https://intouchhealth.atlassian.net/wiki/spaces/TS/pages/261128591/Software+Development,"1. Log into the staging/prod server
2. Make sure favicon shows up in browser
3. Repeat steps 1 and 2 on multiple browsers",favicon is visible on the browser's tab on all browsers,"","","",General,"",""
3515876,Forms should have front end validation and models should have length validations,52755,1,7,2,"","GATE-280, GATE-295, GATE-297",24,1521588948,9,1533061772,"","",4401,0,Forms should have front end validation in addition to existing back end validation. This will add security and help in certain contexts such as the device type form where you lose your form inputs if you submit a form with errors.,"","1. Login to DM
2. Go to 'Device Types' page   
3. Select 'New Device Type'
4. Try inputing data on that form
5. Go back to 'Device Types' page
6. Select an existing Device Type 
7. Click on the pencil icon
8. Try inputting data on that form
9. Repeat steps 2. to 8. with 'Device Categories' page
10. Repeat steps 2. to 8. with 'Credentials' page
11. Repeat steps 2. to 8. with 'Alerts' page (only available for Super admin and Account admin)","- All form-fields populated with erroneous data show a red notification underneath right away or at the moment of submitting.
- All form-fields that expect numbers should notify the user about too large numbers or invalid numbers (special characters / letters)
- All form-fields that expect text must check for character length limit of 255 characters.
- All form-fields with required data should alert the user when left blank. ","","","",General,"",""
3555162,As a DM users I should be able to make a 'secure string' field for my device type,52755,1,7,2,"","GATE-428, GATE-430",23,1523388456,23,1523567760,"","",4401,0,There should be a 'secure string' data type as one of the data type field options so that sensitive information like server passwords are not stored in the DB in plain text.,"Have an admin account.
Have API credentials.","1. Go to /device_types with an admin user account.
2. Create a new device type or edit an existing one.
3. Add a new field key with _field type: device_ and _data type: encrypted_.
4. Save and add a new device via API of that device type.
5. Go to /devices and open the above created device.
6. Edit the above created device field and add a value.
7. Via API do a show device info call, using that device's uid.

",Verify the encrypted value is shown in the API response json.,"","","",General,"",""
3642070,'Device show' and 'metric' pages changed to use device uid in the route,52755,1,7,2,"","GATE-501, GATE-512",24,1527096311,9,1533064133,"","",4401,0,"The routes for the show and metric pages have been changed from using :id to :device_uid. The routes are now /devices/:device_uid and /devices/:device_uid/metrics for show and metric pages, respectively.
The device show and metric routes should used :device_uid rather than :id to allow for redirecting from FMS with the product serial # (which matches device_uid).","1. Have a Device created
2. Have metrics for said Device","1. Login to DM
2. Click on a Device on the home page's device table.
3. Check the URL on this 'Device info' page.
4. Click on `View Graphs` for that device.
5. Check the URL on this device's metrics page.","* URL for `Show Device` page should look like this: `/devices/:device_uid`
* URL for `Metrics` page should look like this: `/devices/:device_uid/metrics`","","","",General,"",""
3654162,As a user I want to be able to order device fields for a given device type,52755,1,7,2,"","GATE-255, GATE-529",23,1527898441,23,1527898868,"","",4401,0,A user wants to order their device fields in the order they think makes sense.,"","1. Login to DM as an admin.
2. Go to the **Device types** page.
3. Create a new device type and add a few static fields and metric fields. Use positive ascending numbers for the names (this is for better view of the reordering below)
4. Rearrange the original order of the created fields.
5. Submit the form.
6. Check the device type index page.
7. Create a new device via API, using that device type. (Check the API docs at: http://docs.intouchutil.com:3000).
8. Open that device view.
","For 6: You should see the fields in the order you arranged them.
For 8: You should see the fields in the order you arranged them.","","","",General,"",""
3679156,Device Type has a 'max downtime' integer attribute,52755,1,7,2,"","GATE-387, GATE-390",23,1530567489,9,1533069174,"","",4401,0,Posting a metric field value or device field value to a device of that device type within that max downtime should cause the device to to show a status of 'healthy' on its dashboard.,"","1. Login to DM.
2. Go to `/device_type` page.
3. Create a new device type.","* Device Type has a `max downtime` integer attribute that defaults to `60`.
* This value can be between 1 and the maximum possible DB integer value.
* The integer value corresponds to a number of minutes.","","","",General,"",""
3679157,Devices create health alerts when they have not reported within their 'max downtime',52755,1,7,2,"","GATE-387, GATE-531",23,1530567937,9,1530574486,"","",4401,0,Devices create an unhealthy 'Device not reporting' alert when they have not reported within the 'max downtime' defined by their parent device type.,"Have a device type created, and its health alert enabled in the /alerts page. Set a maximum frequency of 1 minute.","1. Login to DM.
2. Go to `/device_types` page, edit a device type and set the max downtime value to 1 minute.
3. Create a device with that device type or use an already existing one.
4. Send a `metric` or `device_field` update via REST API to that device.
5. Go to the device detail page, you should see a **Healthy** green status next to its name.
6. After a minute the status will change to a red **Unhealthy**.",Verify an alert is sent to all users who have the health alert activated.,"","","",General,"",""
3679817,UI/UX should reflect the ITH style,52755,1,7,2,"","GATE-565, GATE-592, GATE-593",23,1530914203,23,1531243181,"","",4401,0,UI/UX should reflect the ITH style.,"","1. Login to DM
2. Go to `/devices` page.
3. Click on a device to open its detailed page.
4. Resize the window.
5. Click the `Metrics` table to access the metrics detailed page.
6. Resize the window.
7. Repeat cases 1, 2, 3, 5 on a mobile device.
","* Verify Metrics graphs no longer show on the `detailed device` page.
* Verify graph are showing in the `detailed metrics` page.
* For both pages make sure everything fits and adjusts well in all screen sizes, and in mobile device.","","","",General,"",""
3679866,Disable browser side caching of any sort,52755,1,7,2,"","GATE-607, GATE-608",23,1531762784,23,1531762937,"","",4401,0,"","",1. From a terminal do `curl -v https://devices-stg.intouchstaging.com/`,"You should get _Cache-Control: no-cache, no-store, must-revalidate_ in the headers block.
","","","",General,"",""
3679871,Remove device name uniqueness,52755,1,7,2,"","GATE-595, GATE-598",24,1531858736,9,1531939096,"","",4401,0,Device names shall not be unique. There's a way of differentiate devices which is via device_UID.,"1. Have 2 Accounts created 
2. Have 3 Device Types crated:  
 * 2 of them in the same Account
 * 1 on a different Account.

_Note:  Account  >has>  Device Type  >has>  Device_","1. Login to DM app
2. On /devices page click on 'New Device'
3. Create two devices with the same name of the same device type. (that implies same Account)
4. Repeat for different device type but same Account.
5. Repeat for different Accounts.",- None of the above device creations produces error. Devices can have the same name don't matter the scope.,"","","",General,"",""
